begin,end,f1_1,f1_2,f1_3,f1_4,f1_all,,,,,,
0,10,0.636996786,0.593259116,0.562643365,0.560008481,0.593457641,,,,,,
4,14,0.528685705,0.383096751,0.366792602,0.319818901,0.408970319,,,,,,
8,18,0.388075394,0.330436246,0.34566132,0.451100571,0.382779495,,,,,,
12,22,0.53085067,0.535281241,0.552751259,0.534046154,0.538605945,,,,,,
16,26,0.461870337,0.493040494,0.574769783,0.528861672,0.522353143,,,,,,
20,30,0.586846409,0.610063363,0.593432689,0.563278683,0.598582869,,,,,,
24,34,0.573015787,0.606013809,0.62148751,0.632528636,0.618992004,,,,,,
28,38,0.6482153,0.635928246,0.577672,0.578164242,0.622677262,,,,,,
32,42,0.654514907,0.66622432,0.661025563,0.634233747,0.655390072,,,,,,
36,46,0.690266802,0.686355027,0.47301475,0.296411482,0.54149001,,,,,,
40,50,0.356296053,0.385240302,0.383877108,0.402756514,0.382769948,,,,,,
,,0.550512195,0.53863081,0.519375268,0.500109917,,,,,,,
begin,0,4,8,12,16,20,24,28,32,36,40,
end,10,14,18,22,26,30,34,38,42,46,50,
f1_1,0.636996786,0.528685705,0.388075394,0.53085067,0.461870337,0.586846409,0.573015787,0.6482153,0.654514907,0.690266802,0.356296053,0.550512195
f1_2,0.593259116,0.383096751,0.330436246,0.535281241,0.493040494,0.610063363,0.606013809,0.635928246,0.66622432,0.686355027,0.385240302,0.53863081
f1_3,0.562643365,0.366792602,0.34566132,0.552751259,0.574769783,0.593432689,0.62148751,0.577672,0.661025563,0.47301475,0.383877108,0.519375268
f1_4,0.560008481,0.319818901,0.451100571,0.534046154,0.528861672,0.563278683,0.632528636,0.578164242,0.634233747,0.296411482,0.402756514,0.500109917
f1_all,0.593457641,0.408970319,0.382779495,0.538605945,0.522353143,0.598582869,0.618992004,0.622677262,0.655390072,0.54149001,0.382769948,
